device,VIN,data_collector,time_sensor,time_session,voltage_control_module,engine_load,coolant_temperature,intake_manifold_absolut_pressure,rpm,speed,acceleration_x,acceleration_y,acceleration_z,magnitude,latitude,longitude,fuel_pressure,timing_advance,intake_air_temperature,mass_air_flow,throttle_position,fuel_level,engine_oil_temperature,radar_area,cloud_quantity,teda_time,teda_flag,fuel_model_prediction,air_fuel_ratio,other_info,city_road_label,city_road_prob,coolant_temp,distance_traveled_with_MIL_on,driver_behaviour_label,ethanol_percentage,fuel_model_prediction_prob,fuel_rail_gauge_pressure,long_term_fuel_trim_bank_1,runtime_since_engine_start,short_term_fuel_trim_bank_1
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:16.921953,2026-08-12T16:45:15.909169,,17.0,,59.0,977.0,0.0,1.2283456420898438,1.2566368103027343,9.585317230224609,9.745064160563015,-5.843805241553561,-35.19820408282297,,-10.5,37.0,,,,,0.0,,,0,Não identificado,,,0.0,0.9,,,,,,,,,
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:17.921318,2026-08-12T16:45:15.909169,,17.0,,59.0,977.0,0.0,1.5540682983398437,1.2180171203613281,9.403146057128907,9.60821782398261,-5.843805241553616,-35.19820408282297,,-10.5,37.0,,16.0,,,219.04500000000002,,,0,Não identificado,,,0.0,0.9,80.0,0.0,0,,,,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:18.920865,2026-08-12T16:45:15.909169,13.78,15.0,,52.0,977.0,0.0,1.6557069396972657,0.13397140502929689,11.538305969238282,11.6572646211402,-5.843805241553372,-35.19820408282291,,-10.5,37.0,,16.0,63.14,,193.27499999999998,,,0,Gasolina,,,0.0,0.9,80.0,0.0,0,29.8,0.98,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:19.922016,2026-08-12T16:45:15.909169,13.78,15.0,,52.0,1005.0,0.0,1.3777349853515626,1.2466076660156251,9.887239379882812,10.060302526163717,-5.843805447087738,-35.19820225796657,,-1.0,37.0,,15.0,63.14,,193.27499999999998,,,0,Gasolina,,,0.0,0.8666666666666667,80.0,0.0,0,29.8,1.0,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:20.921631,2026-08-12T16:45:15.909169,13.78,14.0,,51.0,994.0,0.0,1.349294128417969,1.2458592224121094,9.454040222167968,9.630765097821786,-5.8438054156324615,-35.19820253724161,,-3.0,37.0,,15.0,63.14,,175.35000000000002,,,0,Gasolina,,,0.0,0.8666666666666667,80.0,0.0,0,29.8,1.0,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:21.921250,2026-08-12T16:45:15.909169,13.78,14.0,,49.0,991.0,0.0,1.6304095458984376,1.1115884399414062,9.822573852539064,10.018823345870123,-5.843805409405204,-35.19820259252984,,-3.0,37.0,,15.0,63.14,,175.35000000000002,,,0,Gasolina,,,0.0,0.8666666666666667,80.0,0.0,0,29.8,1.0,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:22.921467,2026-08-12T16:45:15.909169,13.78,13.0,,49.0,982.0,0.0,1.3704002380371094,1.1419752502441407,9.290879516601564,9.460578548724643,-5.843805380709786,-35.19820284730367,,1.5,37.0,,15.0,63.14,,161.91500000000002,,,0,Gasolina,,,0.0,0.9333333333333333,80.0,0.0,0,29.8,1.0,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:23.921302,2026-08-12T16:45:15.909169,13.78,13.0,,48.0,982.0,0.0,1.2246034240722656,1.2466076660156251,9.247469787597657,9.411130733963368,-5.843805380709645,-35.19820284730361,,0.0,37.0,,15.0,63.14,,161.91500000000002,,,0,Gasolina,,,0.0,0.9,80.0,0.0,0,29.8,1.0,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:24.921745,2026-08-12T16:45:15.909169,13.78,13.0,,48.0,985.0,0.0,1.503772888183594,1.249152374267578,9.68875213623047,9.884008929107907,-5.843805380709762,-35.19820284730361,,5.0,37.0,,15.0,63.14,,161.91500000000002,,,0,Gasolina,,,0.0,1.0,80.0,0.0,0,29.8,0.97,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:25.921239,2026-08-12T16:45:15.909169,13.78,13.0,,48.0,980.0,0.0,1.7723144531250001,1.1373348999023438,9.610015869140625,9.838040160541443,-5.843805380709417,-35.19820284730361,,3.5,37.0,,15.0,63.14,,161.91500000000002,,,0,Gasolina,,,0.0,1.0,80.0,0.0,0,29.8,0.98,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:26.921638,2026-08-12T16:45:15.909169,13.78,13.0,,49.0,979.0,0.0,1.5380516052246094,1.2216096496582032,9.529633026123047,9.729945451493917,-5.8438053807098225,-35.19820284730367,,7.5,37.0,,15.0,63.14,,161.91500000000002,,,0,Gasolina,,,0.0,1.0,80.0,0.0,0,29.8,0.98,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:27.922104,2026-08-12T16:45:15.909169,13.78,13.0,,49.0,984.0,0.0,1.2576846313476564,1.16158447265625,9.537117462158204,9.689564417766524,-5.843805380709477,-35.19820284730361,,4.5,37.0,,15.0,63.14,,161.91500000000002,,,0,Gasolina,,,0.0,1.0,80.0,0.0,0,29.8,0.97,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:28.921641,2026-08-12T16:45:15.909169,13.78,13.0,,49.0,986.0,0.0,1.4229409790039063,1.2253518676757813,9.781409454345704,9.960031081422821,-5.8438055464352345,-35.19820137588699,,4.5,37.0,,15.0,63.14,,161.91500000000002,,,0,Gasolina,,,0.0,1.0,80.0,0.0,0,29.8,0.97,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:29.921409,2026-08-12T16:45:15.909169,13.78,13.0,,49.0,983.0,0.0,1.4515315246582032,1.2946577453613282,9.451645202636719,9.649698414003742,-5.843805599799822,-35.19820090208536,,2.0,37.0,,15.0,63.14,,161.91500000000002,,,0,Gasolina,,,0.0,0.9333333333333333,80.0,0.0,0,29.8,1.0,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:30.921801,2026-08-12T16:45:15.909169,13.78,13.0,,49.0,983.0,0.0,1.1672726440429688,1.2036470031738282,9.503736877441407,9.650508078304487,-5.843805579763455,-35.19820107998069,,3.0,37.0,,15.0,63.14,,161.91500000000002,,,0,Gasolina,,,0.0,1.0,80.0,0.0,0,29.8,0.99,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:31.922034,2026-08-12T16:45:15.909169,13.78,13.0,,49.0,988.0,0.0,1.4596147155761718,1.21906494140625,9.79413299560547,9.977055456641509,-5.843805641264229,-35.19820053394552,,1.5,37.0,,15.0,63.14,,161.91500000000002,,,0,Gasolina,,,0.0,0.9333333333333333,80.0,0.0,0,29.8,1.0,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:32.921919,2026-08-12T16:45:15.909169,13.78,13.0,,49.0,984.0,0.0,1.3775852966308595,1.2271481323242188,9.568252716064453,9.744490434426787,-5.843805641264194,-35.19820053394552,,3.5,37.0,,15.0,63.14,,161.91500000000002,,,0,Gasolina,,,0.0,1.0,80.0,0.0,0,29.8,0.98,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:33.921377,2026-08-12T16:45:15.909169,13.78,13.0,,49.0,973.0,0.0,1.1511062622070314,1.1256591796875,9.607471160888672,9.741440156517644,-5.843805641264034,-35.19820053394552,,0.5,37.0,,15.0,63.14,,161.91500000000002,,,0,Gasolina,,,0.0,0.9333333333333333,80.0,0.0,0,29.8,1.0,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:34.921475,2026-08-12T16:45:15.909169,13.78,13.0,,48.0,985.0,0.0,1.3509407043457031,1.167572021484375,9.568252716064453,9.733433374225458,-5.8438056412640424,-35.19820053394552,,5.0,37.0,,15.0,63.14,,161.91500000000002,,,0,Gasolina,,,0.0,1.0,80.0,0.0,0,29.8,0.97,12870.0,3.91,510.0,0.78
F666D60A-75B1-428D-A08C-B318AA253AFC,9BWAH5BZ6KP538191,App2Car,2026-08-12T16:45:35.922037,2026-08-12T16:45:15.909169,13.78,13.0,,49.0,978.0,0.0,1.274300079345703,1.3289364624023439,9.408983917236329,9.587434024186805,-5.843805641264593,-35.198200533945574,,5.0,37.0,,15.0,63.14,,161.91500000000002,,,0,Gasolina,,,0.0,1.0,80.0,0.0,0,29.8,0.97,12870.0,3.91,510.0,0.78
