interaction_id,trigger,intent,endpoint,transcript,t_wake,t_command,asr_ms,t_request_sent,lat_sent,lon_sent,t_response_received,lat_recv,lon_recv,api_ms,api_error,format_ms,t_tts_requested,tts_synthesis_delay_ms,tts_duration_ms,spoken_chars,total_ms,cpu_pct,mem_mb,thermal,battery_pct,glasses_thermal,window_start,window_end,last_sample_at,spoken_text,api_raw_response
1,voice,driving_behavior,smart-glass/driver-behavior,Hey Conecta how am I driving,2026-08-12T20:01:08.828Z,2026-08-12T20:01:11.186Z,2358.0,2026-08-12T20:01:11.190Z,-5.843266556302564,-35.2023379347984,2026-08-12T20:01:11.554Z,-5.843266556302564,-35.2023379347984,364.4,,0.5,2026-08-12T20:01:11.555Z,5.3,8310.3,100,11042.3,0.8,29.0,nominal,100.0,,2026-08-12T16:59:11.041376,2026-08-12T17:01:11.041376,2026-08-12T17:01:11.041376,"In the last 2 minutes, your driving was predominantly cautious. Breakdown: 75% cautious, 25% normal.","{""time_session"":""2026-08-12T17:01:03.030472"",""last_sample_at"":""2026-08-12T17:01:11.041376"",""window"":{""seconds"":120,""window_start"":""2026-08-12T16:59:11.041376"",""window_end"":""2026-08-12T17:01:11.041376"",""predominant_behavior"":""cautious"",""distribution"":{""cautious"":75.0,""normal"":25.0,""aggressive"":0.0},""sample_count"":8},""trip"":{""time_per_behavior"":{""cautious"":5.999376,""normal"":1.000339,""aggressive"":0},""sample_count"":8}}"
2,voice,driving_behavior,smart-glass/driver-behavior,Yeah hey Conecta how am I driving,2026-08-12T20:02:31.098Z,2026-08-12T20:02:33.101Z,2003.3,2026-08-12T20:02:33.105Z,-5.84379339411033,-35.19820530908937,2026-08-12T20:02:33.504Z,-5.84379339411033,-35.19820530908937,399.5,,0.4,2026-08-12T20:02:33.505Z,5.0,7920.3,98,10332.6,0.5,29.1,nominal,100.0,,2026-08-12T17:00:33.041220,2026-08-12T17:02:33.041220,2026-08-12T17:02:33.041220,"In the last 2 minutes, your driving was predominantly normal. Breakdown: 71% normal, 29% cautious.","{""time_session"":""2026-08-12T17:01:03.030472"",""last_sample_at"":""2026-08-12T17:02:33.041220"",""window"":{""seconds"":120,""window_start"":""2026-08-12T17:00:33.041220"",""window_end"":""2026-08-12T17:02:33.041220"",""predominant_behavior"":""normal"",""distribution"":{""cautious"":28.89,""normal"":71.11,""aggressive"":0.0},""sample_count"":90},""trip"":{""time_per_behavior"":{""cautious"":25.999144,""normal"":63.000415000000004,""aggressive"":0},""sample_count"":90}}"
3,voice,emissions,smart-glass/emissions,Hey Conecta how am I emitting,2026-08-12T20:03:45.021Z,2026-08-12T20:03:47.187Z,2165.8,2026-08-12T20:03:47.191Z,-5.84379339411033,-35.19820530908937,2026-08-12T20:03:47.526Z,-5.84379339411033,-35.19820530908937,335.4,,0.4,2026-08-12T20:03:47.526Z,9.1,7405.9,93,9920.1,0.7,29.0,nominal,95.0,,,,2026-08-12T17:03:47.040876,You are emitting 183 grams of CO2 per kilometer. 244 grams in total so far. Your rating is E.,"{""time_session"":""2026-08-12T17:01:03.030472"",""last_sample_at"":""2026-08-12T17:03:47.040876"",""emissions"":{""total_g"":244.5,""emission_by_km"":182.9004760425783,""classification"":""E""},""total_distance"":1.3367925840886365,""fuel_prediction"":""Gasolina"",""engine_source"":""default""}"
4,voice,driving_behavior,smart-glass/driver-behavior,Hey Conecta how am I driving,2026-08-12T20:04:24.690Z,2026-08-12T20:04:26.788Z,2097.8,2026-08-12T20:04:26.791Z,-5.84379339411033,-35.19820530908937,2026-08-12T20:04:27.226Z,-5.84379339411033,-35.19820530908937,434.4,,0.2,2026-08-12T20:04:27.226Z,5.1,7496.2,98,10037.4,0.4,29.0,nominal,95.0,,2026-08-12T17:02:26.040501,2026-08-12T17:04:26.040501,2026-08-12T17:04:26.040501,"In the last 2 minutes, your driving was predominantly normal. Breakdown: 70% normal, 30% cautious.","{""time_session"":""2026-08-12T17:01:03.030472"",""last_sample_at"":""2026-08-12T17:04:26.040501"",""window"":{""seconds"":120,""window_start"":""2026-08-12T17:02:26.040501"",""window_end"":""2026-08-12T17:04:26.040501"",""predominant_behavior"":""normal"",""distribution"":{""cautious"":29.75,""normal"":70.25,""aggressive"":0.0},""sample_count"":121},""trip"":{""time_per_behavior"":{""cautious"":59.998913,""normal"":141.999927,""aggressive"":0},""sample_count"":203}}"
5,voice,emissions,smart-glass/emissions,Hey Conecta how am I emitting,2026-08-12T20:06:38.712Z,2026-08-12T20:06:40.892Z,2180.2,2026-08-12T20:06:40.895Z,-5.84379339411033,-35.19820530908937,2026-08-12T20:06:41.407Z,-5.84379339411033,-35.19820530908937,511.4,,0.4,2026-08-12T20:06:41.407Z,8.2,7548.7,93,10252.3,0.8,29.0,nominal,95.0,,,,2026-08-12T17:06:40.039971,You are emitting 184 grams of CO2 per kilometer. 471 grams in total so far. Your rating is E.,"{""time_session"":""2026-08-12T17:01:03.030472"",""last_sample_at"":""2026-08-12T17:06:40.039971"",""emissions"":{""total_g"":470.81,""emission_by_km"":183.67289015260008,""classification"":""E""},""total_distance"":2.5633069725686743,""fuel_prediction"":""Gasolina"",""engine_source"":""default""}"
6,voice,driving_behavior,smart-glass/driver-behavior,Hey Conecta how am I driving,2026-08-12T20:07:42.484Z,2026-08-12T20:07:44.871Z,2387.0,2026-08-12T20:07:44.875Z,-5.84379339411033,-35.19820530908937,2026-08-12T20:07:45.301Z,-5.84379339411033,-35.19820530908937,426.0,,0.4,2026-08-12T20:07:45.304Z,5.2,7680.2,100,10505.7,0.7,29.0,nominal,95.0,,2026-08-12T17:05:44.039222,2026-08-12T17:07:44.039222,2026-08-12T17:07:44.039222,"In the last 2 minutes, your driving was predominantly cautious. Breakdown: 70% cautious, 30% normal.","{""time_session"":""2026-08-12T17:01:03.030472"",""last_sample_at"":""2026-08-12T17:07:44.039222"",""window"":{""seconds"":120,""window_start"":""2026-08-12T17:05:44.039222"",""window_end"":""2026-08-12T17:07:44.039222"",""predominant_behavior"":""cautious"",""distribution"":{""cautious"":70.25,""normal"":29.75,""aggressive"":0.0},""sample_count"":121},""trip"":{""time_per_behavior"":{""cautious"":161.997296,""normal"":238.000265,""aggressive"":0},""sample_count"":401}}"
7,voice,emissions,smart-glass/emissions,Hey Conecta how am I emitting,2026-08-12T20:09:39.463Z,2026-08-12T20:09:42.186Z,2723.3,2026-08-12T20:09:42.190Z,-5.84379339411033,-35.19820530908937,2026-08-12T20:09:42.577Z,-5.84379339411033,-35.19820530908937,387.0,,0.2,2026-08-12T20:09:42.577Z,4.5,7677.2,93,10796.2,0.6,29.0,nominal,95.0,,,,2026-08-12T17:09:42.038755,You are emitting 184 grams of CO2 per kilometer. 745 grams in total so far. Your rating is E.,"{""time_session"":""2026-08-12T17:01:03.030472"",""last_sample_at"":""2026-08-12T17:09:42.038755"",""emissions"":{""total_g"":744.6,""emission_by_km"":183.83674980079263,""classification"":""E""},""total_distance"":4.0503327044611925,""fuel_prediction"":""Gasolina"",""engine_source"":""default""}"
8,voice,driving_behavior,smart-glass/driver-behavior,Hey Conecta how am I driving,2026-08-12T20:10:20.356Z,2026-08-12T20:10:22.397Z,2040.8,2026-08-12T20:10:22.398Z,-5.84379339411033,-35.19820530908937,2026-08-12T20:10:22.858Z,-5.84379339411033,-35.19820530908937,459.5,,0.3,2026-08-12T20:10:22.858Z,7.1,7911.6,98,10421.0,0.4,29.0,nominal,95.0,,2026-08-12T17:08:22.037965,2026-08-12T17:10:22.037965,2026-08-12T17:10:22.037965,"In the last 2 minutes, your driving was predominantly normal. Breakdown: 69% normal, 31% cautious.","{""time_session"":""2026-08-12T17:01:03.030472"",""last_sample_at"":""2026-08-12T17:10:22.037965"",""window"":{""seconds"":120,""window_start"":""2026-08-12T17:08:22.037965"",""window_end"":""2026-08-12T17:10:22.037965"",""predominant_behavior"":""normal"",""distribution"":{""cautious"":31.4,""normal"":68.6,""aggressive"":0.0},""sample_count"":121},""trip"":{""time_per_behavior"":{""cautious"":211.994551,""normal"":346.001753,""aggressive"":0},""sample_count"":559}}"
9,voice,emissions,smart-glass/emissions,Hey Conecta how am I emitting,2026-08-12T20:10:47.808Z,2026-08-12T20:10:49.892Z,2083.9,2026-08-12T20:10:49.895Z,-5.84379339411033,-35.19820530908937,2026-08-12T20:10:50.503Z,-5.84379339411033,-35.19820530908937,607.4,,0.3,2026-08-12T20:10:50.503Z,5.9,7654.9,93,10355.8,0.7,29.0,nominal,95.0,,,,2026-08-12T17:10:49.038214,You are emitting 175 grams of CO2 per kilometer. 848 grams in total so far. Your rating is E.,"{""time_session"":""2026-08-12T17:01:03.030472"",""last_sample_at"":""2026-08-12T17:10:49.038214"",""emissions"":{""total_g"":847.74,""emission_by_km"":174.95381573273022,""classification"":""E""},""total_distance"":4.84550734975142,""fuel_prediction"":""Gasolina"",""engine_source"":""default""}"
10,voice,driving_behavior,smart-glass/driver-behavior,Hey Conecta how am I driving,2026-08-12T20:11:13.089Z,2026-08-12T20:11:14.989Z,1899.9,2026-08-12T20:11:14.993Z,-5.84379339411033,-35.19820530908937,2026-08-12T20:11:15.478Z,-5.84379339411033,-35.19820530908937,484.3,,0.4,2026-08-12T20:11:15.478Z,6.0,9442.8,113,11837.3,1.4,29.0,nominal,95.0,,2026-08-12T17:09:14.038002,2026-08-12T17:11:14.038002,2026-08-12T17:11:14.038002,"In the last 2 minutes, your driving was predominantly normal. Breakdown: 76% normal, 22% cautious, 2% aggressive.","{""time_session"":""2026-08-12T17:01:03.030472"",""last_sample_at"":""2026-08-12T17:11:14.038002"",""window"":{""seconds"":120,""window_start"":""2026-08-12T17:09:14.038002"",""window_end"":""2026-08-12T17:11:14.038002"",""predominant_behavior"":""normal"",""distribution"":{""cautious"":22.31,""normal"":76.03,""aggressive"":1.65},""sample_count"":121},""trip"":{""time_per_behavior"":{""cautious"":223.995854,""normal"":384.000026,""aggressive"":2.000461},""sample_count"":611}}"
